const_code,region_code,percent_leave,percent_remain
E14001037,E12000002,0.470561736,0.529438264
E14000567,E12000005,0.457496277,0.542503723
E14000599,E12000009,0.487260054,0.512739946
E14000969,E12000002,0.479496338,0.520503662
E14000589,E12000003,0.463724209,0.536275791
E14001042,E12000008,0.46659077,0.53340923
E14000551,E12000007,0.465816411,0.534183589
E14001043,E12000002,0.454699685,0.545300315
W07000075,W92000004,0.465109786,0.534890214
E14000867,E12000004,0.455881292,0.544118708
E14001015,E12000008,0.46459651,0.53540349
E14000817,E12000008,0.464405927,0.535594073
E14001046,E12000008,0.463446575,0.536553425
E14000958,E12000002,0.462928366,0.537071634
E14000679,E12000007,0.462692813,0.537307187
E14000675,E12000007,0.485534483,0.514465517
E14000767,E12000005,0.462056819,0.537943181
E14000951,E12000006,0.461954801,0.538045199
E14000844,E12000008,0.461789136,0.538210864
E14000901,E12000008,0.460755865,0.539244135
E14000777,E12000003,0.45960968,0.54039032
E14000980,E12000009,0.458621591,0.541378409
E14001003,E12000009,0.458503699,0.541496301
E14000656,E12000007,0.453123536,0.546876464
E14000987,E12000002,0.456315582,0.543684418
E14000687,E12000007,0.473991624,0.526008376
W07000064,W92000004,0.453701374,0.546298626
E14000746,E12000001,0.453367357,0.546632643
E14000619,E12000008,0.453274048,0.546725952
E14000937,E12000006,0.453048188,0.546951812
S14000013,S92000003,0.451108539,0.548891461
E14000732,E12000007,0.418683856,0.581316144
E14000803,E12000008,0.450257011,0.549742989
E14000631,E12000008,0.44984984,0.55015016
E14000698,E12000009,0.448278936,0.551721064
S14000027,S92000003,0.447627994,0.552372006
E14001044,E12000002,0.42568766,0.57431234
E14000823,E12000007,0.490303222,0.509696778
E14001062,E12000003,0.446677162,0.553322838
E14001004,E12000008,0.446463372,0.553536628
S14000014,S92000003,0.446451668,0.553548332
S14000037,S92000003,0.442859814,0.557140186
E14001047,E12000008,0.442519336,0.557480664
S14000006,S92000003,0.441115509,0.558884491
E14000916,E12000002,0.440885873,0.559114127
S14000030,S92000003,0.465420322,0.534579678
W07000079,W92000004,0.438226362,0.561773638
E14000597,E12000008,0.435923134,0.564076866
S14000055,S92000003,0.434930294,0.565069706
W07000047,W92000004,0.434007848,0.565992152
E14000641,E12000001,0.43336734,0.56663266
E14000760,E12000007,0.433097999,0.566902001
E14000593,E12000007,0.403512681,0.596487319
S14000041,S92000003,0.43261454,0.56738546
S14000044,S92000003,0.432609029,0.567390971
S14000008,S92000003,0.432586813,0.567413187
S14000001,S92000003,0.430922087,0.569077913
E14000742,E12000008,0.430858202,0.569141798
E14000630,E12000009,0.428989761,0.571010239
E14000591,E12000007,0.428875883,0.571124117
E14000865,E12000004,0.42616162,0.57383838
W07000080,W92000004,0.428171979,0.571828021
E14001048,E12000008,0.426940889,0.573059111
E14000627,E12000002,0.420735627,0.579264373
E14000592,E12000007,0.426117511,0.573882489
E14000783,E12000004,0.424353547,0.575646453
S14000048,S92000003,0.423965875,0.576034125
